total_bill,tip,sex,smoker,time,size,week
16.99,1.01,Female,No,Dinner,2,Sun
10.34,1.66,Male,No,Dinner,3,Sun
21.01,3.5,Male,No,Dinner,3,Sun
23.68,3.31,Male,No,Dinner,2,Sun
24.59,3.61,Female,No,Dinner,4,Sun
25.29,4.71,Male,No,Dinner,4,Sun
8.77,2.0,Male,No,Dinner,2,Sun
26.88,3.12,Male,No,Dinner,4,Sun
15.04,1.96,Male,No,Dinner,2,Sun
14.78,3.23,Male,No,Dinner,2,Sun
10.27,1.71,Male,No,Dinner,2,Sun
35.26,5.0,Female,No,Dinner,4,Sun
15.42,1.57,Male,No,Dinner,2,Sun
18.43,3.0,Male,No,Dinner,4,Sun
14.83,3.02,Female,No,Dinner,2,Sun
21.58,3.92,Male,No,Dinner,2,Sun
10.33,1.67,Female,No,Dinner,3,Sun
16.29,3.71,Male,No,Dinner,3,Sun
16.97,3.5,Female,No,Dinner,3,Sun
20.65,3.35,Male,No,Dinner,3,Sat
17.92,4.08,Male,No,Dinner,2,Sat
20.29,2.75,Female,No,Dinner,2,Sat
15.77,2.23,Female,No,Dinner,2,Sat
39.42,7.58,Male,No,Dinner,4,Sat
19.82,3.18,Male,No,Dinner,2,Sat
17.81,2.34,Male,No,Dinner,4,Sat
13.37,2.0,Male,No,Dinner,2,Sat
12.69,2.0,Male,No,Dinner,2,Sat
21.7,4.3,Male,No,Dinner,2,Sat
19.65,3.0,Female,No,Dinner,2,Sat
9.55,1.45,Male,No,Dinner,2,Sat
18.35,2.5,Male,No,Dinner,4,Sat
15.06,3.0,Female,No,Dinner,2,Sat
20.69,2.45,Female,No,Dinner,4,Sat
17.78,3.27,Male,No,Dinner,2,Sat
24.06,3.6,Male,No,Dinner,3,Sat
16.31,2.0,Male,No,Dinner,3,Sat
16.93,3.07,Female,No,Dinner,3,Sat
18.69,2.31,Male,No,Dinner,3,Sat
31.27,5.0,Male,No,Dinner,3,Sat
16.04,2.24,Male,No,Dinner,3,Sat
17.46,2.54,Male,No,Dinner,2,Sun
13.94,3.06,Male,No,Dinner,2,Sun
9.68,1.32,Male,No,Dinner,2,Sun
30.4,5.6,Male,No,Dinner,4,Sun
18.29,3.0,Male,No,Dinner,2,Sun
22.23,5.0,Male,No,Dinner,2,Sun
32.4,6.0,Male,No,Dinner,4,Sun
28.55,2.05,Male,No,Dinner,3,Sun
18.04,3.0,Male,No,Dinner,2,Sun
12.54,2.5,Male,No,Dinner,2,Sun
10.29,2.6,Female,No,Dinner,2,Sun
34.81,5.2,Female,No,Dinner,4,Sun
9.94,1.56,Male,No,Dinner,2,Sun
25.56,4.34,Male,No,Dinner,4,Sun
19.49,3.51,Male,No,Dinner,2,Sun
38.01,3.0,Male,Yes,Dinner,4,Sat
26.41,1.5,Female,No,Dinner,2,Sat
11.24,1.76,Male,Yes,Dinner,2,Sat
48.27,6.73,Male,No,Dinner,4,Sat
20.29,3.21,Male,Yes,Dinner,2,Sat
13.81,2.0,Male,Yes,Dinner,2,Sat
11.02,1.98,Male,Yes,Dinner,2,Sat
18.29,3.76,Male,Yes,Dinner,4,Sat
17.59,2.64,Male,No,Dinner,3,Sat
20.08,3.15,Male,No,Dinner,3,Sat
16.45,2.47,Female,No,Dinner,2,Sat
3.07,1.0,Female,Yes,Dinner,1,Sat
20.23,2.01,Male,No,Dinner,2,Sat
15.01,2.09,Male,Yes,Dinner,2,Sat
12.02,1.97,Male,No,Dinner,2,Sat
17.07,3.0,Female,No,Dinner,3,Sat
26.86,3.14,Female,Yes,Dinner,2,Sat
25.28,5.0,Female,Yes,Dinner,2,Sat
14.73,2.2,Female,No,Dinner,2,Sat
10.51,1.25,Male,No,Dinner,2,Sat
17.92,3.08,Male,Yes,Dinner,2,Sat
27.2,4.0,Male,No,Lunch,4,Thu
22.76,3.0,Male,No,Lunch,2,Thu
17.29,2.71,Male,No,Lunch,2,Thu
19.44,3.0,Male,Yes,Lunch,2,Thu
16.66,3.4,Male,No,Lunch,2,Thu
10.07,1.83,Female,No,Lunch,1,Thu
32.68,5.0,Male,Yes,Lunch,2,Thu
15.98,2.03,Male,No,Lunch,2,Thu
34.83,5.17,Female,No,Lunch,4,Thu
13.03,2.0,Male,No,Lunch,2,Thu
18.28,4.0,Male,No,Lunch,2,Thu
24.71,5.85,Male,No,Lunch,2,Thu
21.16,3.0,Male,No,Lunch,2,Thu
28.97,3.0,Male,Yes,Dinner,2,Fri
22.49,3.5,Male,No,Dinner,2,Fri
5.75,1.0,Female,Yes,Dinner,2,Fri
16.32,4.3,Female,Yes,Dinner,2,Fri
22.75,3.25,Female,No,Dinner,2,Fri
40.17,4.73,Male,Yes,Dinner,4,Fri
27.28,4.0,Male,Yes,Dinner,2,Fri
12.03,1.5,Male,Yes,Dinner,2,Fri
21.01,3.0,Male,Yes,Dinner,2,Fri
12.46,1.5,Male,No,Dinner,2,Fri
11.35,2.5,Female,Yes,Dinner,2,Fri
15.38,3.0,Female,Yes,Dinner,2,Fri
44.3,2.5,Female,Yes,Dinner,3,Sat
22.42,3.48,Female,Yes,Dinner,2,Sat
20.92,4.08,Female,No,Dinner,2,Sat
15.36,1.64,Male,Yes,Dinner,2,Sat
20.49,4.06,Male,Yes,Dinner,2,Sat
25.21,4.29,Male,Yes,Dinner,2,Sat
18.24,3.76,Male,No,Dinner,2,Sat
14.31,4.0,Female,Yes,Dinner,2,Sat
14.0,3.0,Male,No,Dinner,2,Sat
7.25,1.0,Female,No,Dinner,1,Sat
38.07,4.0,Male,No,Dinner,3,Sun
23.95,2.55,Male,No,Dinner,2,Sun
25.71,4.0,Female,No,Dinner,3,Sun
17.31,3.5,Female,No,Dinner,2,Sun
29.93,5.07,Male,No,Dinner,4,Sun
10.65,1.5,Female,No,Lunch,2,Thu
12.43,1.8,Female,No,Lunch,2,Thu
24.08,2.92,Female,No,Lunch,4,Thu
11.69,2.31,Male,No,Lunch,2,Thu
13.42,1.68,Female,No,Lunch,2,Thu
14.26,2.5,Male,No,Lunch,2,Thu
15.95,2.0,Male,No,Lunch,2,Thu
12.48,2.52,Female,No,Lunch,2,Thu
29.8,4.2,Female,No,Lunch,6,Thu
8.52,1.48,Male,No,Lunch,2,Thu
14.52,2.0,Female,No,Lunch,2,Thu
11.38,2.0,Female,No,Lunch,2,Thu
22.82,2.18,Male,No,Lunch,3,Thu
19.08,1.5,Male,No,Lunch,2,Thu
20.27,2.83,Female,No,Lunch,2,Thu
11.17,1.5,Female,No,Lunch,2,Thu
12.26,2.0,Female,No,Lunch,2,Thu
18.26,3.25,Female,No,Lunch,2,Thu
8.51,1.25,Female,No,Lunch,2,Thu
10.33,2.0,Female,No,Lunch,2,Thu
14.15,2.0,Female,No,Lunch,2,Thu
16.0,2.0,Male,Yes,Lunch,2,Thu
13.16,2.75,Female,No,Lunch,2,Thu
17.47,3.5,Female,No,Lunch,2,Thu
34.3,6.7,Male,No,Lunch,6,Thu
41.19,5.0,Male,No,Lunch,5,Thu
27.05,5.0,Female,No,Lunch,6,Thu
16.43,2.3,Female,No,Lunch,2,Thu
8.35,1.5,Female,No,Lunch,2,Thu
18.64,1.36,Female,No,Lunch,3,Thu
11.87,1.63,Female,No,Lunch,2,Thu
9.78,1.73,Male,No,Lunch,2,Thu
7.51,2.0,Male,No,Lunch,2,Thu
14.07,2.5,Male,No,Dinner,2,Sun
13.13,2.0,Male,No,Dinner,2,Sun
17.26,2.74,Male,No,Dinner,3,Sun
24.55,2.0,Male,No,Dinner,4,Sun
19.77,2.0,Male,No,Dinner,4,Sun
29.85,5.14,Female,No,Dinner,5,Sun
48.17,5.0,Male,No,Dinner,6,Sun
25.0,3.75,Female,No,Dinner,4,Sun
13.39,2.61,Female,No,Dinner,2,Sun
16.49,2.0,Male,No,Dinner,4,Sun
21.5,3.5,Male,No,Dinner,4,Sun
12.66,2.5,Male,No,Dinner,2,Sun
16.21,2.0,Female,No,Dinner,3,Sun
13.81,2.0,Male,No,Dinner,2,Sun
17.51,3.0,Female,Yes,Dinner,2,Sun
24.52,3.48,Male,No,Dinner,3,Sun
20.76,2.24,Male,No,Dinner,2,Sun
31.71,4.5,Male,No,Dinner,4,Sun
10.59,1.61,Female,Yes,Dinner,2,Sat
10.63,2.0,Female,Yes,Dinner,2,Sat
50.81,10.0,Male,Yes,Dinner,3,Sat
15.81,3.16,Male,Yes,Dinner,2,Sat
7.25,5.15,Male,Yes,Dinner,2,Sun
31.85,3.18,Male,Yes,Dinner,2,Sun
16.82,4.0,Male,Yes,Dinner,2,Sun
32.9,3.11,Male,Yes,Dinner,2,Sun
17.89,2.0,Male,Yes,Dinner,2,Sun
14.48,2.0,Male,Yes,Dinner,2,Sun
9.6,4.0,Female,Yes,Dinner,2,Sun
34.63,3.55,Male,Yes,Dinner,2,Sun
34.65,3.68,Male,Yes,Dinner,4,Sun
23.33,5.65,Male,Yes,Dinner,2,Sun
45.35,3.5,Male,Yes,Dinner,3,Sun
23.17,6.5,Male,Yes,Dinner,4,Sun
40.55,3.0,Male,Yes,Dinner,2,Sun
20.69,5.0,Male,No,Dinner,5,Sun
20.9,3.5,Female,Yes,Dinner,3,Sun
30.46,2.0,Male,Yes,Dinner,5,Sun
18.15,3.5,Female,Yes,Dinner,3,Sun
23.1,4.0,Male,Yes,Dinner,3,Sun
15.69,1.5,Male,Yes,Dinner,2,Sun
19.81,4.19,Female,Yes,Lunch,2,Thu
28.44,2.56,Male,Yes,Lunch,2,Thu
15.48,2.02,Male,Yes,Lunch,2,Thu
16.58,4.0,Male,Yes,Lunch,2,Thu
7.56,1.44,Male,No,Lunch,2,Thu
10.34,2.0,Male,Yes,Lunch,2,Thu
43.11,5.0,Female,Yes,Lunch,4,Thu
13.0,2.0,Female,Yes,Lunch,2,Thu
13.51,2.0,Male,Yes,Lunch,2,Thu
18.71,4.0,Male,Yes,Lunch,3,Thu
12.74,2.01,Female,Yes,Lunch,2,Thu
13.0,2.0,Female,Yes,Lunch,2,Thu
16.4,2.5,Female,Yes,Lunch,2,Thu
20.53,4.0,Male,Yes,Lunch,4,Thu
16.47,3.23,Female,Yes,Lunch,3,Thu
26.59,3.41,Male,Yes,Dinner,3,Sat
38.73,3.0,Male,Yes,Dinner,4,Sat
24.27,2.03,Male,Yes,Dinner,2,Sat
12.76,2.23,Female,Yes,Dinner,2,Sat
30.06,2.0,Male,Yes,Dinner,3,Sat
25.89,5.16,Male,Yes,Dinner,4,Sat
48.33,9.0,Male,No,Dinner,4,Sat
13.27,2.5,Female,Yes,Dinner,2,Sat
28.17,6.5,Female,Yes,Dinner,3,Sat
12.9,1.1,Female,Yes,Dinner,2,Sat
28.15,3.0,Male,Yes,Dinner,5,Sat
11.59,1.5,Male,Yes,Dinner,2,Sat
7.74,1.44,Male,Yes,Dinner,2,Sat
30.14,3.09,Female,Yes,Dinner,4,Sat
12.16,2.2,Male,Yes,Lunch,2,Fri
13.42,3.48,Female,Yes,Lunch,2,Fri
8.58,1.92,Male,Yes,Lunch,1,Fri
15.98,3.0,Female,No,Lunch,3,Fri
13.42,1.58,Male,Yes,Lunch,2,Fri
16.27,2.5,Female,Yes,Lunch,2,Fri
10.09,2.0,Female,Yes,Lunch,2,Fri
20.45,3.0,Male,No,Dinner,4,Sat
13.28,2.72,Male,No,Dinner,2,Sat
22.12,2.88,Female,Yes,Dinner,2,Sat
24.01,2.0,Male,Yes,Dinner,4,Sat
15.69,3.0,Male,Yes,Dinner,3,Sat
11.61,3.39,Male,No,Dinner,2,Sat
10.77,1.47,Male,No,Dinner,2,Sat
15.53,3.0,Male,Yes,Dinner,2,Sat
10.07,1.25,Male,No,Dinner,2,Sat
12.6,1.0,Male,Yes,Dinner,2,Sat
32.83,1.17,Male,Yes,Dinner,2,Sat
35.83,4.67,Female,No,Dinner,3,Sat
29.03,5.92,Male,No,Dinner,3,Sat
27.18,2.0,Female,Yes,Dinner,2,Sat
22.67,2.0,Male,Yes,Dinner,2,Sat
17.82,1.75,Male,No,Dinner,2,Sat
18.78,3.0,Female,No,Dinner,2,Thu
